secid,date,days,volatility,index_flag
108105,2012-01-20,730,0.207989,1
108105,2012-01-20,1825,0.266887,1
108105,2012-01-23,10,0.068361,1
108105,2012-01-23,14,0.076505,1
108105,2012-01-23,30,0.103877,1
108105,2012-01-23,60,0.191244,1
108105,2012-01-23,91,0.235254,1
108105,2012-01-23,122,0.248125,1
108105,2012-01-23,152,0.255475,1
108105,2012-01-23,182,0.303523,1
108105,2012-01-23,273,0.259736,1
108105,2012-01-23,365,0.233746,1
108105,2012-01-23,547,0.206193,1
108105,2012-01-23,730,0.207117,1
108105,2012-01-23,1825,0.267057,1
108105,2012-01-24,10,0.069686,1
108105,2012-01-24,14,0.07042,1
108105,2012-01-24,30,0.101624,1
108105,2012-01-24,60,0.190951,1
108105,2012-01-24,91,0.231244,1
108105,2012-01-24,122,0.246657,1
108105,2012-01-24,152,0.254123,1
108105,2012-01-24,182,0.303472,1
108105,2012-01-24,273,0.259526,1
108105,2012-01-24,365,0.233678,1
108105,2012-01-24,547,0.206012,1
108105,2012-01-24,730,0.206914,1
108105,2012-01-24,1825,0.26701,1
108105,2012-01-25,10,0.071307,1
108105,2012-01-25,14,0.077816,1
108105,2012-01-25,30,0.101674,1
108105,2012-01-25,60,0.188975,1
108105,2012-01-25,91,0.230961,1
108105,2012-01-25,122,0.245456,1
108105,2012-01-25,152,0.253464,1
108105,2012-01-25,182,0.302308,1
108105,2012-01-25,273,0.259621,1
108105,2012-01-25,365,0.233835,1
108105,2012-01-25,547,0.206117,1
108105,2012-01-25,730,0.206975,1
108105,2012-01-25,1825,0.267038,1
108105,2012-01-26,10,0.085963,1
108105,2012-01-26,14,0.090321,1
108105,2012-01-26,30,0.105452,1
108105,2012-01-26,60,0.18797,1
108105,2012-01-26,91,0.221262,1
108105,2012-01-26,122,0.242952,1
108105,2012-01-26,152,0.252461,1
108105,2012-01-26,182,0.302386,1
108105,2012-01-26,273,0.259668,1
108105,2012-01-26,365,0.233873,1
108105,2012-01-26,547,0.206091,1
108105,2012-01-26,730,0.206995,1
108105,2012-01-26,1825,0.266944,1
108105,2012-01-27,10,0.089166,1
108105,2012-01-27,14,0.083725,1
108105,2012-01-27,30,0.091578,1
108105,2012-01-27,60,0.176581,1
108105,2012-01-27,91,0.2213,1
108105,2012-01-27,122,0.242479,1
108105,2012-01-27,152,0.251279,1
108105,2012-01-27,182,0.30225,1
108105,2012-01-27,273,0.259657,1
108105,2012-01-27,365,0.233868,1
108105,2012-01-27,547,0.206063,1
108105,2012-01-27,730,0.206975,1
108105,2012-01-27,1825,0.266839,1
108105,2012-01-30,10,0.076997,1
108105,2012-01-30,14,0.082604,1
108105,2012-01-30,30,0.087276,1
108105,2012-01-30,60,0.148236,1
108105,2012-01-30,91,0.215072,1
108105,2012-01-30,122,0.237379,1
108105,2012-01-30,152,0.250126,1
108105,2012-01-30,182,0.302212,1
108105,2012-01-30,273,0.259665,1
108105,2012-01-30,365,0.233179,1
108105,2012-01-30,547,0.206077,1
108105,2012-01-30,730,0.206881,1
108105,2012-01-30,1825,0.267024,1
108105,2012-01-31,10,0.070295,1
108105,2012-01-31,14,0.082731,1
108105,2012-01-31,30,0.085498,1
108105,2012-01-31,60,0.148252,1
108105,2012-01-31,91,0.206522,1
108105,2012-01-31,122,0.23596,1
108105,2012-01-31,152,0.249334,1
108105,2012-01-31,182,0.299906,1
108105,2012-01-31,273,0.259638,1
108105,2012-01-31,365,0.233057,1
108105,2012-01-31,547,0.205338,1
108105,2012-01-31,730,0.206677,1
108105,2012-01-31,1825,0.267013,1
108105,2012-02-01,10,0.083017,1
108105,2012-02-01,14,0.076081,1
108105,2012-02-01,30,0.08653,1
108105,2012-02-01,60,0.147543,1
108105,2012-02-01,91,0.204887,1
108105,2012-02-01,122,0.234854,1
108105,2012-02-01,152,0.246111,1
108105,2012-02-01,182,0.300077,1
108105,2012-02-01,273,0.25973,1
108105,2012-02-01,365,0.232638,1
108105,2012-02-01,547,0.205409,1
108105,2012-02-01,730,0.206534,1
108105,2012-02-01,1825,0.267041,1
108105,2012-02-02,10,0.082995,1
108105,2012-02-02,14,0.073232,1
108105,2012-02-02,30,0.072741,1
108105,2012-02-02,60,0.145691,1
108105,2012-02-02,91,0.201669,1
108105,2012-02-02,122,0.228599,1
108105,2012-02-02,152,0.244914,1
108105,2012-02-02,182,0.291629,1
108105,2012-02-02,273,0.259521,1
108105,2012-02-02,365,0.232623,1
108105,2012-02-02,547,0.205359,1
108105,2012-02-02,730,0.206345,1
